ApprovalFY,Term,NoEmp,NewBiz,RevLineCr,LowDoc,DisbursementGross,MIS_Status,County_Name,TotalLoansInCounty,PIF_RateByCounty,MedIncome,PopChange,EmployedInCty,UnempInCty,UnempRateInCty,DeathsPer100k,PayDelay,Industry
2008,84,1.9459101490553132,0.0,1.0,0,39232.0,P I F,Mesa,445,0.8764044943820225,38324,0.2766146263541973,78618,3182,3.9,977.2,3.6109179126442243,Professional
1999,300,1.791759469228055,0.0,0.0,0,247500.0,P I F,Mesa,445,0.8764044943820225,24308,0.2766146263541973,58335,2415,4.0,977.2,5.318119993844216,Health
2008,84,3.2188758248682006,0.0,1.0,0,41875.0,CHGOFF,Mesa,445,0.8764044943820225,38324,0.2766146263541973,78618,3182,3.9,977.2,2.8903717578961645,Accommodation
1999,101,3.2188758248682006,1.0,0.0,1,75000.0,CHGOFF,Mesa,445,0.8764044943820225,24308,0.2766146263541973,58335,2415,4.0,977.2,4.74493212836325,Unknown
2008,120,2.4849066497880004,0.0,0.0,0,350000.0,P I F,Mesa,445,0.8764044943820225,38324,0.2766146263541973,78618,3182,3.9,977.2,3.6635616461296463,Manufacturing
2008,240,2.70805020110221,0.0,0.0,0,625000.0,P I F,Mesa,445,0.8764044943820225,38324,0.2766146263541973,78618,3182,3.9,977.2,4.941642422609304,Accommodation
2008,96,1.3862943611198906,1.0,0.0,0,150000.0,P I F,Mesa,445,0.8764044943820225,38324,0.2766146263541973,78618,3182,3.9,977.2,4.30406509320417,Retail
2008,240,1.791759469228055,0.0,0.0,0,269000.0,P I F,Mesa,445,0.8764044943820225,38324,0.2766146263541973,78618,3182,3.9,977.2,5.497168225293202,Health
2009,120,0.6931471805599453,0.0,0.0,0,63000.0,P I F,Mesa,445,0.8764044943820225,34513,0.2766146263541973,75199,6868,8.4,977.2,4.653960350157523,Professional
2000,120,2.995732273553991,1.0,0.0,1,80000.0,P I F,Mesa,445,0.8764044943820225,25694,0.2766146263541973,56921,1963,3.3,977.2,4.406719247264253,Accommodation
2009,120,4.0943445622221,0.0,0.0,0,2000000.0,P I F,Mesa,445,0.8764044943820225,34513,0.2766146263541973,75199,6868,8.4,977.2,4.127134385045092,Manufacturing
2000,300,2.0794415416798357,0.0,0.0,0,312500.0,P I F,Mesa,445,0.8764044943820225,25694,0.2766146263541973,56921,1963,3.3,977.2,3.8066624897703196,Unknown
2000,64,2.302585092994046,1.0,0.0,1,90000.0,CHGOFF,Mesa,445,0.8764044943820225,25694,0.2766146263541973,56921,1963,3.3,977.2,3.713572066704308,Unknown
2009,301,0.6931471805599453,0.0,0.0,0,638000.0,P I F,Mesa,445,0.8764044943820225,34513,0.2766146263541973,75199,6868,8.4,977.2,3.871201010907891,Health
2000,84,2.0794415416798357,0.0,0.0,0,300000.0,P I F,Mesa,445,0.8764044943820225,25694,0.2766146263541973,56921,1963,3.3,977.2,3.367295829986474,Unknown
2000,84,2.1972245773362196,0.0,0.0,0,450500.0,P I F,Mesa,445,0.8764044943820225,25694,0.2766146263541973,56921,1963,3.3,977.2,4.07753744390572,Unknown
2000,87,3.2188758248682006,0.0,0.0,0,114600.0,P I F,Mesa,445,0.8764044943820225,25694,0.2766146263541973,56921,1963,3.3,977.2,5.703782474656201,Unknown
1990,102,1.791759469228055,0.0,0.0,0,200000.0,P I F,Mesa,445,0.8764044943820225,15473,0.2766146263541973,42012,2700,6.0,977.2,3.8918202981106265,Unknown
2009,73,4.276666119016055,0.0,0.0,0,35000.0,P I F,Mesa,445,0.8764044943820225,34513,0.2766146263541973,75199,6868,8.4,977.2,3.295836866004329,Manufacturing
2000,180,0.0,0.0,0.0,0,86000.0,P I F,Mesa,445,0.8764044943820225,25694,0.2766146263541973,56921,1963,3.3,977.2,4.060443010546419,Unknown
2000,240,2.0794415416798357,0.0,0.0,0,184000.0,P I F,Mesa,445,0.8764044943820225,25694,0.2766146263541973,56921,1963,3.3,977.2,3.1354942159291497,Retail
1990,60,1.3862943611198906,0.0,0.0,0,25000.0,P I F,Mesa,445,0.8764044943820225,15473,0.2766146263541973,42012,2700,6.0,977.2,4.51085950651685,Unknown
2009,240,0.6931471805599453,0.0,0.0,0,418000.0,P I F,Mesa,445,0.8764044943820225,34513,0.2766146263541973,75199,6868,8.4,977.2,6.07073772800249,Health
2000,240,1.791759469228055,0.0,0.0,0,160000.0,P I F,Mesa,445,0.8764044943820225,25694,0.2766146263541973,56921,1963,3.3,977.2,5.204006687076795,Construction
